1,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q1,Both DS & SME
2,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q2,Both DS & SME
3,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q3,Both DS & SME
4,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q4,Both DS & SME
5,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q5,Data Scientist
6,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q6,Subject Matter Expert
7,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q7,Subject Matter Expert
8,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q8,Both DS & SME
9,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q9,Subject Matter Expert
10,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q10,Subject Matter Expert
11,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q11,Subject Matter Expert
12,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q12,Both DS & SME
13,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q13,Subject Matter Expert
14,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q14,Data Scientist
15,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q15,Both DS & SME
16,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q16,Data Scientist
17,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q17,Subject Matter Expert
18,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q18,Both DS & SME
19,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q19,Data Scientist
20,2b62b03e-5cbf-4dc7-9a57-90c2c411f59c,Q20,Data Scientist
21,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q1,Both DS & SME
22,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q2,Data Scientist
23,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q3,Data Scientist
24,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q4,Both DS & SME
25,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q5,Data Scientist
26,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q6,Data Scientist
27,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q7,Data Scientist
28,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q8,Subject Matter Expert
29,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q9,Subject Matter Expert
30,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q10,Subject Matter Expert
31,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q11,Both DS & SME
32,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q12,Data Scientist
33,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q13,Subject Matter Expert
34,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q14,Data Scientist
35,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q15,Subject Matter Expert
36,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q16,Both DS & SME
37,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q17,Subject Matter Expert
38,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q18,Data Scientist
39,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q19,Data Scientist
40,f5343f6a-d5e2-46a8-81de-9550106a55d2,Q20,Data Scientist
41,885db72c-222e-4560-9ebe-b795bffdcdf3,Q1,Both DS & SME
42,885db72c-222e-4560-9ebe-b795bffdcdf3,Q2,Both DS & SME
43,885db72c-222e-4560-9ebe-b795bffdcdf3,Q3,Both DS & SME
44,885db72c-222e-4560-9ebe-b795bffdcdf3,Q4,Both DS & SME
45,885db72c-222e-4560-9ebe-b795bffdcdf3,Q5,Data Scientist
46,885db72c-222e-4560-9ebe-b795bffdcdf3,Q6,Data Scientist
47,885db72c-222e-4560-9ebe-b795bffdcdf3,Q7,Data Scientist
48,885db72c-222e-4560-9ebe-b795bffdcdf3,Q8,Both DS & SME
49,885db72c-222e-4560-9ebe-b795bffdcdf3,Q9,Subject Matter Expert
50,885db72c-222e-4560-9ebe-b795bffdcdf3,Q10,Subject Matter Expert
51,885db72c-222e-4560-9ebe-b795bffdcdf3,Q11,Both DS & SME
52,885db72c-222e-4560-9ebe-b795bffdcdf3,Q12,Both DS & SME
53,885db72c-222e-4560-9ebe-b795bffdcdf3,Q13,Subject Matter Expert
54,885db72c-222e-4560-9ebe-b795bffdcdf3,Q14,Both DS & SME
55,885db72c-222e-4560-9ebe-b795bffdcdf3,Q15,Both DS & SME
56,885db72c-222e-4560-9ebe-b795bffdcdf3,Q16,Data Scientist
57,885db72c-222e-4560-9ebe-b795bffdcdf3,Q17,Subject Matter Expert
58,885db72c-222e-4560-9ebe-b795bffdcdf3,Q18,Both DS & SME
59,885db72c-222e-4560-9ebe-b795bffdcdf3,Q19,Data Scientist
60,885db72c-222e-4560-9ebe-b795bffdcdf3,Q20,Data Scientist
61,a9eed7aa-d46f-4e7c-9803-8cc5ad7ec3ef,Q1,Both DS & SME
62,a9eed7aa-d46f-4e7c-9803-8cc5ad7ec3ef,Q2,Subject Matter Expert
63,a9eed7aa-d46f-4e7c-9803-8cc5ad7ec3ef,Q3,Data Scientist
64,a9eed7aa-d46f-4e7c-9803-8cc5ad7ec3ef,Q4,Both DS & SME
65,a9eed7aa-d46f-4e7c-9803-8cc5ad7ec3ef,Q5,Data Scientist
66,a9eed7aa-d46f-4e7c-9803-8cc5ad7ec3ef,Q6,Subject Matter Expert
67,a9eed7aa-d46f-4e7c-9803-8cc5ad7ec3ef,Q7,Subject Matter Expert
68,a9eed7aa-d46f-4e7c-9803-8cc5ad7ec3ef,Q8,Both DS & SME
69,a9eed7aa-d46f-4e7c-9803-8cc5ad7ec3ef,Q9,Data Scientist
70,a9eed7aa-d46f-4e7c-9803-8cc5ad7ec3ef,Q10,Subject Matter Expert
71,a9eed7aa-d46f-4e7c-9803-8cc5ad7ec3ef,Q11,Subject Matter Expert
72,a9eed7aa-d46f-4e7c-9803-8cc5ad7ec3ef,Q12,Both DS & SME
