file,n_distinct,n_total,distinct-2,ttr,batch,header
trail9_100_DS_prompt.txt,12,164,0.073170732,2.953373593526072,20,Trial-6-DS-Prob
trail9_100_DS_prompt.txt,24,335,0.071641791,2.982838301184846,40,Trial-6-DS-Prob
trail9_100_DS_prompt.txt,36,499,0.072144289,2.973016731965255,60,Trial-6-DS-Prob
trail9_100_DS_prompt.txt,78,627,0.12440191387559808,2.8200065342987566,80,Trial-6-DS-Prob
trail9_100_DS_prompt.txt,134,789,0.16983523447401774,2.7816196001938738,100,Trial-6-DS-Prob
train10_100_DSprompt.txt,9,123,0.073170732,2.665247559812795,20,Trial-7-DS-Prob
train10_100_DSprompt.txt,17,258,0.065891473,2.702695773809642,40,Trial-7-DS-Prob
train10_100_DSprompt.txt,29,377,0.076923077,2.6663216949245006,60,Trial-7-DS-Prob
train10_100_DSprompt.txt,38,509,0.074656189,2.6818927346639563,80,Trial-7-DS-Prob
train10_100_DSprompt.txt,40,652,0.061349693,2.7082614779940832,100,Trial-7-DS-Prob
trial1_250.txt,86,221,0.3891402714932127,3.4370735803325205,20,Trial-1-Direct-Prob
trial1_250.txt,116,429,0.2703962703962704,3.4049593834986545,40,Trial-1-Direct-Prob
trial1_250.txt,150,631,0.23771790808240886,3.3847878343351465,60,Trial-1-Direct-Prob
trial1_250.txt,170,848,0.20047169811320756,3.4015554087967175,80,Trial-1-Direct-Prob
trial1_250.txt,198,1048,0.18893129770992367,3.3842257698382205,100,Trial-1-Direct-Prob
trial1_250.txt,226,1248,0.18108974358974358,3.372672677199223,120,Trial-1-Direct-Prob
trial1_250.txt,227,1470,0.154421769,3.386939612789153,140,Trial-1-Direct-Prob
trial1_250.txt,219,1530,0.14313725490196078,3.3860701930286203,146,Trial-1-Direct-Prob
trial2_250.txt,6,251,0.023904382,3.7125711883849193,20,Trial-4-Direct-Prob
trial2_250.txt,0,502,0,3.7125711883849184,40,Trial-4-Direct-Prob
trial2_250.txt,0,750,0,3.706076712173926,60,Trial-4-Direct-Prob
trial2_250.txt,0,1001,0,3.707700331226674,80,Trial-4-Direct-Prob
trial2_250.txt,0,1252,0,3.708674502658323,100,Trial-4-Direct-Prob
trial2_250.txt,0,1500,0,3.7060767121739264,120,Trial-4-Direct-Prob
trial2_250.txt,0,1577,0,3.7087032232663057,126,Trial-4-Direct-Prob
trial8_100.txt,91,238,0.38235294117647056,3.4497795370747197,20,Trial-5-React-Prob
trial8_100.txt,151,525,0.2876190476190476,3.563659244571763,40,Trial-5-React-Prob
trial8_100.txt,159,805,0.19751552795031055,3.5374836046641915,60,Trial-5-React-Prob
trial8_100.txt,165,890,0.1853932584269663,3.537333627838695,65,Trial-5-React-Prob
dprob_trial1_100_DS_prompt.txt,80,208,0.38461538461538464,3.2067426700144344,20,Trial-8-React-Prob
dprob_trial1_100_DS_prompt.txt,107,414,0.2584541062801932,3.285439932,40,Trial-8-React-Prob
dprob_trial1_100_DS_prompt.txt,149,669,0.2227204783258595,3.428207515970179,60,Trial-8-React-Prob
dprob_trial1_100_DS_prompt.txt,185,929,0.1991388589881593,3.5064504798742084,80,Trial-8-React-Prob
dprob_trial1_100_DS_prompt.txt,198,1196,0.16555183946488294,3.563997938008834,100,Trial-8-React-Prob
dprob_trial2_100_DS_prompt_think.txt,53,254,0.20866141732283464,3.561831294495785,20,Trial-2-Direct-Prob
dprob_trial2_100_DS_prompt_think.txt,94,523,0.17973231357552583,3.6845794235802045,40,Trial-2-Direct-Prob
dprob_trial2_100_DS_prompt_think.txt,133,803,0.1656288916562889,3.760082396501866,60,Trial-2-Direct-Prob
dprob_trial2_100_DS_prompt_think.txt,175,1100,0.1590909090909091,3.8459539505114506,80,Trial-2-Direct-Prob
dprob_trial2_100_DS_prompt_think.txt,214,1407,0.15209665955934612,3.910881554351217,100,Trial-2-Direct-Prob
dprob_trial3_100_DS_prompt.txt,119,220,0.5409090909090909,3.342433361183525,20,Trial-3-Direct-Prob
dprob_trial3_100_DS_prompt.txt,199,472,0.4216101694915254,3.425366176092865,40,Trial-3-Direct-Prob
dprob_trial3_100_DS_prompt.txt,224,797,0.2810539523212045,3.5836489115350902,60,Trial-3-Direct-Prob
dprob_trial3_100_DS_prompt.txt,191,1130,0.16902654867256636,3.6723686627381644,80,Trial-3-Direct-Prob
dprob_trial3_100_DS_prompt.txt,193,1460,0.13219178082191782,3.7242084985824078,100,Trial-3-Direct-Prob
genai_questions_bank_windturbinegearbox_mixtral.csv,231,433,0.5334872979214781,4.280624355187841,20,Auto-Q-mixtral
genai_questions_bank_windturbinegearbox_mixtral.csv,394,780,0.5051282051282051,4.137533989646937,40,Auto-Q-mixtral
genai_questions_bank_windturbinegearbox_mixtral.csv,556,1147,0.4847428073234525,4.15988834,60,Auto-Q-mixtral
genai_questions_bank_windturbinegearbox_mixtral.csv,683,1503,0.45442448436460414,4.130761339518562,80,Auto-Q-mixtral
genai_questions_bank_windturbinegearbox_mixtral.csv,788,1856,0.4245689655172414,4.112613452074006,100,Auto-Q-mixtral
genai_questions_bank_windturbinegearbox_mixtral.csv,907,2247,0.40364931019136624,4.132499396264696,120,Auto-Q-mixtral
genai_questions_bank_windturbinegearbox_mixtral.csv,1027,2635,0.38975332068311197,4.148273438071854,140,Auto-Q-mixtral
genai_questions_bank_windturbinegearbox_mixtral.csv,1070,2806,0.38132573057733427,4.150002297753469,150,Auto-Q-mixtral
genai_questions_bank_windturbinegearbox_llama.csv,286,540,0.5296296296296297,4.583705536905319,20,Auto-Q-llama
genai_questions_bank_windturbinegearbox_llama.csv,500,1085,0.4608294930875576,4.624678428512005,40,Auto-Q-llama
genai_questions_bank_windturbinegearbox_llama.csv,630,1614,0.3903345724907063,4.648300069853063,60,Auto-Q-llama
genai_questions_bank_windturbinegearbox_llama.csv,788,2183,0.36097114063215757,4.669830836067512,80,Auto-Q-llama
genai_questions_bank_windturbinegearbox_llama.csv,894,2629,0.3400532521871434,4.5847384456130404,100,Auto-Q-llama
genai_questions_bank_windturbinegearbox_llama.csv,1019,3164,0.3220606826801517,4.579218521732421,120,Auto-Q-llama
genai_questions_bank_windturbinegearbox_llama.csv,1108,3642,0.3042284459088413,4.570173673482055,140,Auto-Q-llama
genai_questions_bank_windturbinegearbox_llama.csv,1160,3912,0.2965235173824131,4.571364821095909,150,Auto-Q-llama
